doc_id,word_count,token_count,sentence_count,char_count,char_count_no_spaces,avg_words_per_sentence,avg_syllables_per_word,flesch_kincaid_grade,gunning_fog_index,lexical_density,lexical_diversity,keyword_density,sentiment_polarity,named_entity_count,distinct_entity_types,most_frequent_entity,most_frequent_entity_count
Rhea_(bird)_70f2e6417e,1679,1196,96,10823,8943,17.489583333333332,1.6349017272185824,10.522777881179273,12.070282410164781,0.6015485407980941,0.4175104228707564,0.06789755807027993,,202,12,Rhea,11
Rheoheros_940dc905af,65,47,5,484,405,13.0,1.9384615384615385,12.353846153846156,10.123076923076923,0.6461538461538462,0.7538461538461538,0.16923076923076924,,12,7,Rheoheros,2
Rheoheros_coeruleus_4b2778f296,324,242,19,2344,2007,17.05263157894737,2.0185185185185186,14.879044834307994,17.56179337231969,0.6604938271604939,0.5802469135802469,0.09567901234567901,,27,8,Mexico,3
Rhexipanchax_d209ae5c47,45,41,5,398,337,9.0,2.066666666666667,12.306666666666672,8.933333333333335,0.8,0.7555555555555555,0.3333333333333333,,15,6,Daget,3
Rhinelander_rabbit_df62517e43,788,502,34,4898,4074,23.176470588235293,1.6459390862944163,12.870904747685877,14.346730367273814,0.550761421319797,0.36928934010152287,0.0850253807106599,,90,11,US,7
Rhinelepinae_1fb8c51890,466,294,23,3112,2610,20.26086956521739,1.9656652360515021,15.50658891584251,14.971300615786527,0.5772532188841202,0.4892703862660944,0.07081545064377683,,61,8,Pogonopoma,5
Rhinelepini_66df41f7e5,466,294,23,3111,2609,20.26086956521739,1.9678111587982832,15.531910804254526,14.971300615786527,0.5772532188841202,0.4892703862660944,0.06866952789699571,,61,8,Pogonopoma,5
Rhinelepis_aspera_ede5c097d8,59,39,3,381,320,19.666666666666668,1.88135593220339,14.280000000000005,14.646327683615818,0.5932203389830508,0.711864406779661,0.15254237288135594,,8,6,Loricariidae,1
Rhinelepis_b43c4d4d56,211,146,12,1423,1191,17.583333333333332,1.9241706161137442,13.972713270142183,13.289257503949447,0.6018957345971564,0.5450236966824644,0.10900473933649289,,34,9,1829,3
Rhinelepis_strigosa_0dfb35bcdd,60,40,3,407,343,20.0,1.9666666666666666,15.416666666666668,14.666666666666666,0.6166666666666667,0.6833333333333333,0.16666666666666666,,12,6,Paraguay,2
Rhinobrycon_18c70020b0,47,27,2,290,241,23.5,1.8297872340425532,15.16648936170213,15.35744680851064,0.5319148936170213,0.7021276595744681,0.1702127659574468,,6,4,Rhinobrycon Rhinobrycon,1
Rhinodoras_7a37220ee6,158,131,5,1153,970,31.6,1.9367088607594938,19.587164556962026,17.70329113924051,0.740506329113924,0.7468354430379747,0.11392405063291139,,24,7,Rhinodoras,6
Rhinodoras_armbrusteri_b56d773720,57,38,2,357,297,28.5,1.7719298245614035,16.433771929824562,14.20701754385965,0.5964912280701754,0.6842105263157895,0.19298245614035087,,12,5,Guyana,2
Rhinodoras_boehlkei_3a4cf04809,30,19,2,189,156,15.0,1.7333333333333334,10.713333333333338,7.333333333333333,0.6,0.7666666666666667,0.26666666666666666,,6,4,Rhinodoras,1
Rhinodoras_dorbignyi_ea99896340,43,32,3,304,252,14.333333333333334,1.9069767441860466,12.50232558139535,8.524031007751939,0.6511627906976745,0.7906976744186046,0.18604651162790697,,11,6,Rhinodoras,1
Rhinodoras_gallagheri_548223a06b,64,45,3,405,333,21.333333333333332,1.84375,14.486250000000002,11.658333333333333,0.609375,0.640625,0.1875,,12,5,gallagheri Rhinodoras gallagheri,1
Rhinodoras_thomersoni_be5b3d17ff,46,30,2,300,249,23.0,1.8695652173913044,15.440869565217394,12.678260869565218,0.5869565217391305,0.7608695652173914,0.17391304347826086,,9,4,Rhinodoras,1
Rhinogobiops_a1f07febaf,2038,1381,116,12812,10623,17.56896551724138,1.6481844946025515,10.710473588034247,12.601678454197828,0.5809617271835132,0.3562315996074583,0.061334641805691856,,162,13,Blackeye,12
Rhinolekos_74f8b68c59,362,240,11,2436,2032,32.90909090909091,1.828729281767956,18.823550979407333,19.682973380210953,0.5883977900552486,0.5193370165745856,0.09116022099447514,,52,8,Rhinolekos,7
Rhinolekos_britskii_b20424cfee,359,241,15,2395,2006,23.933333333333334,1.8440111420612812,15.503331476323119,16.147149489322192,0.5877437325905293,0.5041782729805014,0.08356545961002786,,49,9,Rhinolekos,9
Rhinolekos_capetinga_1e0711251a,461,313,15,3033,2541,30.733333333333334,1.7982646420824295,17.61552277657267,19.234765003615333,0.5921908893709328,0.5032537960954447,0.0737527114967462,,53,9,Rhinolekos,9
Rhinolekos_garavelloi_5c9ad1b11b,301,209,13,2040,1714,23.153846153846153,1.8770764119601329,15.589501661129571,16.437618195757732,0.5813953488372093,0.53156146179402,0.08970099667774087,,44,9,Rhinolekos,6
Rhinolekos_schaeferi_baca6fa2fd,360,256,13,2461,2074,27.692307692307693,1.9,17.63,18.854700854700855,0.6027777777777777,0.5305555555555556,0.08333333333333333,,45,9,Rhinolekos,4
Rhinopetitia_371197990c,70,63,4,629,542,17.5,2.657142857142857,22.58928571428572,14.428571428571429,0.8142857142857143,0.5714285714285714,0.37142857142857144,,21,4,Rhinopetitia,4
Rhinopetitia_myersi_e8d1701312,43,26,3,271,223,14.333333333333334,1.7209302325581395,10.306976744186048,13.175193798449612,0.5581395348837209,0.6976744186046512,0.18604651162790697,,6,4,Rhinopetitia,1
Rhinotheca_5ea565f3c1,5486,3613,244,33543,27906,22.483606557377048,1.600984323733139,12.07022157742809,14.913967595608495,0.5745534086766314,0.2821728034998177,0.05997083485235144,,100,13,two,12
Rhinotocinclus_465fbbd7d0,392,318,16,3237,2746,24.5,2.2372448979591835,20.364489795918363,15.616326530612245,0.6989795918367347,0.4770408163265306,0.1683673469387755,,113,9,Rhinotocinclus,16
Rhinotocinclus_acuen_c9acf9d63b,344,222,17,2230,1860,20.235294117647058,1.7674418604651163,13.157578659370724,15.303419972640217,0.5872093023255814,0.5261627906976745,0.0755813953488372,,32,10,Rhinotocinclus,2
Rhinotocinclus_britskii_b0fd10240f,346,232,15,2349,1977,23.066666666666666,1.907514450867052,15.914670520231216,16.394296724470134,0.5953757225433526,0.5375722543352601,0.08670520231213873,,43,11,Rhinotocinclus,4
Rhinotocinclus_chromodontus_76260df1ca,251,168,11,1772,1497,22.818181818181817,1.9681274900398407,16.532995291561026,16.936037667511773,0.6254980079681275,0.5378486055776892,0.11155378486055777,,33,10,Rhinotocinclus,3
